institution_id,period_id,disorder_index,field_id
47301684,3,0.9043151969981238,0
47838141,0,0.5986124876114965,0
47838141,1,0.5004766444232602,0
47838141,2,0.6150278293135436,0
47838141,3,0.6885553470919324,0
48633490,0,0.7888999008919723,0
48633490,1,0.6854146806482364,0
48633490,2,0.6743970315398887,0
48633490,3,0.701688555347092,0
49332381,0,0.40237859266600595,0
49332381,1,0.7054337464251669,0
49332381,2,0.6512059369202227,0
49332381,3,0.5572232645403377,0
49886154,0,0.2983151635282458,0
49886154,1,0.28026692087702576,0
49886154,2,0.45083487940630795,0
49886154,3,0.4821763602251407,0
51504820,0,0.3201189296333003,0
51504820,1,0.8341277407054337,0
51504820,2,0.7717996289424861,0
51504820,3,0.6060037523452158,0
51556381,0,0.626362735381566,0
51556381,1,0.9294566253574833,0
51556381,2,0.9526901669758813,0
51556381,3,0.850844277673546,0
51579864,0,,0
51579864,1,,0
51579864,2,0.34786641929499074,0
51579864,3,0.5046904315196998,0
51713134,0,0.38354806739345887,0
51713134,1,0.5471877979027645,0
51713134,2,0.6948051948051948,0
51713134,3,0.6557223264540337,0
52064589,0,0.5639246778989098,0
52064589,1,0.4013346043851287,0
52064589,2,0.17346938775510204,0
52064589,3,0.08911819887429644,0
52357470,0,0.9672943508424182,0
52357470,1,0.9542421353670162,0
52357470,2,0.9823747680890538,0
52357470,3,0.9878048780487805,0
52669646,0,0.5381565906838454,0
52669646,1,0.5138226882745471,0
52669646,2,0.7040816326530612,0
52669646,3,0.40150093808630394,0
52792670,0,0.01684836471754212,0
52792670,1,0.27931363203050524,0
52792670,2,0.5222634508348795,0
52792670,3,0.44840525328330205,0
53236636,0,0.13280475718533202,0
53236636,1,0.33841754051477596,0
53236636,2,0.17532467532467533,0
53236636,3,0.012664165103189493,0
53276908,0,0.8285431119920713,0
53276908,1,0.9389895138226882,0
53276908,2,0.9777365491651205,0
53276908,3,0.9924953095684803,0
54713919,0,0.12586719524281467,0
54713919,1,0.451858913250715,0
54713919,2,0.35435992578849723,0
54713919,3,0.16791744840525327,0
55302922,0,0.7631318136769079,0
55302922,1,0.665395614871306,0
55302922,2,0.47217068645640076,0
55302922,3,0.49437148217636023,0
55633929,0,0.26461843409316155,0
55633929,1,0.3203050524308866,0
55633929,2,0.11781076066790352,0
55633929,3,0.2101313320825516,0
55732556,0,0.8107036669970268,0
55732556,1,0.8188751191611058,0
55732556,2,0.6920222634508348,0
55732556,3,0.8151969981238274,0
55769427,0,0.8642220019821606,0
55769427,1,0.8779790276453765,0
55769427,2,0.8534322820037106,0
55769427,3,0.924953095684803,0
55921689,0,0.5480673934588701,0
55921689,1,0.6539561487130601,0
55921689,2,0.45918367346938777,0
55921689,3,0.3789868667917448,0
57053284,0,0.13082259663032705,0
57053284,1,0.04671115347950429,0
57053284,2,0.01020408163265306,0
57053284,3,0.058161350844277676,0
57206974,0,0.9930624380574826,0
57206974,1,0.8751191611058151,0
57206974,2,0.911873840445269,0
57206974,3,0.9840525328330206,0
57328836,0,0.8989098116947473,0
57328836,1,0.9313632030505243,0
57328836,2,0.9397031539888683,0
57328836,3,0.9202626641651032,0
58610484,0,0.844400396432111,0
58610484,1,0.7702573879885606,0
58610484,2,1.0,0
58610484,3,0.9146341463414634,0
58956616,0,0.8850346878097126,0
58956616,1,0.9065776930409915,0
58956616,2,0.7495361781076066,0
58956616,3,0.6622889305816135,0
59130452,0,0.7066402378592666,0
59130452,1,0.7883698760724499,0
59130452,2,0.7421150278293135,0
59130452,3,0.8405253283302064,0
59499333,0,0.24777006937561943,0
59499333,1,0.07435653002859867,0
59499333,2,0.025974025974025976,0
59499333,3,0.4849906191369606,0
59553526,0,0.7601585728444004,0
59553526,1,0.776930409914204,0
59553526,2,0.5909090909090909,0
59553526,3,0.7204502814258912,0
59897056,0,0.800792864222002,0
59897056,1,0.7492850333651097,0
59897056,2,0.7727272727272727,0
