institution_id,institution_name,country_name,latitude,longitude,research_level
150468666,Emory University (US),United States,33.749,-84.38798,R1
150569930,Bayer (United States) (US),United States,40.82454,-74.4171,
151328261,Hampton University (US),United States,37.02987,-76.34522,R2
151808059,Colorado School of Public Health (US),United States,39.72943,-104.83192,
153297377,Medical University of South Carolina (US),United States,32.77657,-79.93092,R1
153901656,University of North Carolina Wilmington (US),United States,34.23556,-77.94604,R2
154057602,Henry Ford Health System (US),United States,42.33143,-83.04575,
154570441,"University of California, Santa Barbara (US)",United States,34.42083,-119.69819,R1
155093810,University of Idaho (US),United States,46.73239,-117.00017,R1
155173764,Rochester Institute of Technology (US),United States,43.15478,-77.61556,R2
155781252,University of South Carolina (US),United States,34.00071,-81.03481,R1
156087764,"University of California, Merced (US)",United States,37.30216,-120.48297,R1
156802259,Eastern Virginia Medical School (US),United States,36.84681,-76.28522,R2
157394403,Baylor University (US),United States,31.54933,-97.14667,R1
157417397,Bowling Green State University (US),United States,41.37477,-83.65132,R2
157638225,"California State University, Northridge (US)",United States,34.22834,-118.53675,D/PU
157725225,University of Illinois Urbana-Champaign (US),United States,40.11059,-88.20727,R1
158012942,University of Richmond (US),United States,37.55376,-77.46026,D/PU
159548981,State Street (United States) (US),United States,42.35843,-71.05977,
160606119,University of Tennessee Health Science Center (US),United States,35.14953,-90.04898,R1
160856358,University of San Diego (US),United States,32.71571,-117.16472,R2
161057412,University of New Hampshire (US),United States,43.13397,-70.92645,R1
161318765,"University of California, Los Angeles (US)",United States,34.05223,-118.24368,R1
161675122,Cooperative Institute for Research in Environmental Sciences (US),United States,40.01499,-105.27055,
162577319,The University of Texas at Dallas (US),United States,32.94818,-96.72972,R1
162714631,George Mason University (US),United States,38.84622,-77.30637,R1
164389053,Fordham University (US),United States,40.71427,-74.00597,R2
164936912,The University of Texas at El Paso (US),United States,31.75872,-106.48693,R1
165102784,Duquesne University (US),United States,40.44062,-79.99589,R2
165139151,University of North Texas Health Science Center (US),United States,32.72541,-97.32085,D/PU
165690674,Oregon Health & Science University (US),United States,45.52345,-122.67621,R2
165733156,University of Georgia (US),United States,33.96095,-83.37794,R1
165799507,Rensselaer Polytechnic Institute (US),United States,42.72841,-73.69179,R1
165951966,The University of Texas Health Science Center at San Antonio (US),United States,29.42412,-98.49363,R1
166088655,Montclair State University (US),United States,40.82593,-74.20903,R2
166416128,DEVCOM Army Research Laboratory (US),United States,39.00317,-76.97192,
166722992,University of Massachusetts Chan Medical School (US),United States,42.26259,-71.80229,R2
167576493,Colorado School of Mines (US),United States,39.75554,-105.2211,R1
168537998,Eli Lilly (United States) (US),United States,39.76838,-86.15804,
168959743,University of America (US),United States,33.55391,-117.21392,
169071179,Cancer Research Institute (US),United States,40.71427,-74.00597,
169335092,University of North Carolina at Greensboro (US),United States,36.07264,-79.79198,R2
169521973,University of New Mexico (US),United States,35.08449,-106.65114,R1
169615421,Middle Tennessee State University (US),United States,35.84562,-86.39027,R2
170201317,University of Pittsburgh (US),United States,40.44062,-79.99589,R1
170632171,Washington State University Spokane (US),United States,47.65966,-117.42908,
170897317,Duke University (US),United States,35.99403,-78.89862,R1
172980758,Kennesaw State University (US),United States,34.02343,-84.61549,
173268674,Texas A&M University System (US),United States,30.62798,-96.33441,
173911158,Iowa State University (US),United States,42.03471,-93.61994,R1
174216632,City University of New York (US),United States,40.71427,-74.00597,
175003984,Office of Naval Research (US),United States,38.88101,-77.10428,
175594653,John Brown University (US),United States,36.18814,-94.5405,
177097968,University of Tennessee at Chattanooga (US),United States,35.04563,-85.30968,D/PU
177156846,South Dakota State University (US),United States,44.31136,-96.79839,R2
177605424,Amherst College (US),United States,42.37537,-72.51925,D/PU
177607063,The Lundquist Institute (US),United States,33.83585,-118.34063,
177721651,Oakland University (US),United States,42.68059,-83.13382,R2
178169726,Southern Methodist University (US),United States,32.78306,-96.80667,R1
180297670,RTI International (US),United States,35.99403,-78.89862,
180670191,"University of California, San Francisco (US)",United States,37.77493,-122.41942,R1
180857899,Pfizer (United States) (US),United States,40.71427,-74.00597,
180949307,Illinois Institute of Technology (US),United States,41.85003,-87.65005,R2
181190671,New York Medical College (US),United States,41.07482,-73.77513,D/PU
181233156,University of Oregon (US),United States,44.05207,-123.08675,R1
181401687,American University (US),United States,38.89511,-77.03637,R1
181547552,Baylor College of Medicine (US),United States,29.76328,-95.36327,R1
181565077,Georgia State University (US),United States,33.749,-84.38798,R1
181697535,SUNY Downstate Health Sciences University (US),United States,40.6501,-73.94958,
183874917,Urbana University (US),United States,40.10839,-83.75243,
184565670,Georgetown University (US),United States,38.89511,-77.03637,R1
184840846,Virginia Commonwealth University (US),United States,37.55376,-77.46026,R1
185071736,Chapman University (US),United States,33.78779,-117.85311,R2
185103710,"University of California, Santa Cruz (US)",United States,36.97412,-122.0308,R1
185443292,Wayne State University (US),United States,42.33143,-83.04575,R1
186143895,Lehigh University (US),United States,40.62593,-75.37046,R1
186335123,East Carolina University (US),United States,35.61266,-77.36635,R1
186523950,Regeneron (United States) (US),United States,41.07621,-73.85875,
188497080,Carleton College (US),United States,44.4583,-93.1616,D/PU
188538660,University of Colorado Boulder (US),United States,40.01499,-105.27055,R1
188703185,GTx (United States) (US),United States,35.14953,-90.04898,
