similarity_score,institution_id_scaled2,institution_id_scaled2_neighbor
0.9985050559043884,26,343
0.9978150725364685,26,1
0.9977880120277405,26,81
0.9973669648170471,26,91
0.9971826076507568,26,400
0.9970980286598206,26,962
0.997072696685791,26,362
0.9968156218528748,26,342
0.9961037039756775,26,256
0.9955844879150391,26,356
0.9954306483268738,26,277
0.9952919483184814,26,10
0.9943263530731201,26,348
0.9942688345909119,26,134
0.9936160445213318,26,453
0.9930732250213623,26,138
0.9922107458114624,26,25
0.9918370246887207,26,73
0.9967834949493408,27,19
0.9957789778709412,27,52
0.9957197904586792,27,156
0.9944108724594116,27,304
0.9940151572227478,27,337
0.9938883185386658,27,339
0.9938714504241943,27,349
0.992888867855072,27,336
0.9928821325302124,27,360
0.9925878643989563,27,273
0.9920669794082642,27,288
0.9906988739967346,27,296
0.9900766015052795,27,403
0.9887372255325317,27,48
0.9884108304977417,27,743
0.9883787035942078,27,223
0.987923800945282,27,432
0.9870477914810181,27,33
0.9854632019996643,27,99
0.9853736162185669,27,254
0.9876523613929749,28,139
0.9840037822723389,28,1010
0.9832884669303894,28,489
0.9775437712669373,28,439
0.9730708003044128,28,723
0.9558197855949402,28,752
0.9557157754898071,28,271
0.9540119767189026,28,143
0.9540018439292908,28,777
0.9510728120803833,28,500
0.9486849904060364,28,409
0.9413286447525024,28,232
0.9405016899108887,28,894
0.9354419112205505,28,1051
0.9324216246604919,28,1068
0.9297919273376465,28,872
0.9297293424606323,28,205
0.9270151257514954,28,715
0.9248048663139343,28,1019
0.9186272025108337,28,810
0.9994402527809143,29,142
0.9992457628250122,29,217
0.9991443157196045,29,338
0.99906986951828,29,918
0.998988687992096,29,316
0.9985439777374268,29,370
0.9981854557991028,29,53
0.9981685280799866,29,32
0.9979182481765747,29,610
0.9977254867553711,29,90
0.9965264797210693,29,260
0.9963827133178711,29,773
0.9960207939147949,29,285
0.9958094358444214,29,218
0.9956200122833252,29,1034
0.9954119920730591,29,173
0.994444727897644,29,165
0.9933657646179199,29,214
0.9925151467323303,29,135
0.9924221634864807,29,246
0.9995941519737244,30,658
0.9985980987548828,30,796
0.9981803894042969,30,359
0.9981093406677246,30,8
0.9980366230010986,30,147
0.9977694153785706,30,428
0.9973229765892029,30,152
0.9962457418441772,30,302
0.9950619339942932,30,311
0.9947085380554199,30,378
0.9943516850471497,30,402
0.9941842555999756,30,420
0.9939137101173401,30,128
0.9938375949859619,30,721
0.9926385879516602,30,127
0.9920281171798706,30,959
0.9919173717498779,30,399
0.9912992715835571,30,58
0.9906904697418213,30,189
0.9900596737861633,30,135
0.9995907545089722,31,940
0.9992711544036865,31,51
0.9992001056671143,31,685
0.9991510510444641,31,41
0.9991104602813721,31,24
0.9990039467811584,31,117
